"Average",,,,,,,,,,,,,,,,"E0",,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
20,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0307058,0.0476988,-0.00806704,-1.05654e-05,4.86064e-05,-4.42832e-06,8.50833e-05,-4.70423e-05,-0.148725,8.04587e-05,8.25308e-05,0.000368546,4.21519e-05,0.00126456,30.0012,30
21,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0325521,0.0512684,-0.00840711,-1.15987e-05,5.38244e-05,7.40993e-07,9.13231e-05,-4.90974e-05,-0.033053,8.01852e-05,8.22622e-05,0.000367317,5.05597e-05,0.00151679,30.0015,30
22,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0342375,0.0545177,-0.0074847,-1.50003e-05,5.27244e-05,-2.73733e-07,9.22376e-05,-5.45135e-05,-0.0517928,7.95015e-05,8.1593e-05,0.00036424,4.6669e-05,0.00140007,30.0014,30
23,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0358375,0.0579488,-0.00925023,-1.16551e-05,6.04837e-05,5.43821e-07,9.92395e-05,-5.04108e-05,-0.0233668,7.88247e-05,8.09277e-05,0.00036119,6.31318e-05,0.00189395,30.0019,30
24,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0377257,0.0608595,-0.0100571,-1.49033e-05,6.17917e-05,2.62469e-07,0.000101381,-5.44923e-05,-0.0254551,7.87487e-05,8.08548e-05,0.000360858,6.27854e-05,0.00188356,30.0019,30
25,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.039372,0.0639125,-0.00991657,-1.52541e-05,6.755e-05,-3.30002e-07,0.000106734,-5.44383e-05,-0.0382273,7.90059e-05,8.11013e-05,0.000362021,6.6391e-05,0.00199173,30.002,30
26,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0412063,0.0670516,-0.0103978,-1.5679e-05,6.90105e-05,-1.72271e-06,0.000110779,-5.74473e-05,-0.121888,7.94721e-05,8.1547e-05,0.000364095,6.56224e-05,0.00196867,30.0019,30
27,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0429517,0.0702347,-0.0103186,-1.51133e-05,7.75688e-05,6.57914e-07,0.000118435,-5.59796e-05,-0.0182423,7.96613e-05,8.17149e-05,0.000364908,7.27889e-05,0.00218366,30.0022,30
28,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0449173,0.0732416,-0.0111648,-1.27745e-05,7.51971e-05,3.93237e-08,0.000120425,-5.80026e-05,-0.0209087,7.95516e-05,8.16003e-05,0.000364396,7.20256e-05,0.00216077,30.0021,30
29,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0466325,0.0762402,-0.0110987,-1.55368e-05,7.75808e-05,-2.09458e-06,0.000123561,-6.15173e-05,-0.0412044,7.93786e-05,8.14417e-05,0.000363645,7.37167e-05,0.0022115,30.0022,30
30,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0482645,0.0792438,-0.0119252,-1.34035e-05,8.64839e-05,-2.09906e-06,0.000131361,-5.82807e-05,-0.0632059,7.94133e-05,8.1486e-05,0.000363825,8.29876e-05,0.00248962,30.0025,30
31,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0502698,0.0823783,-0.012776,-1.82831e-05,9.42623e-05,-2.02595e-06,0.000138061,-6.2082e-05,-0.0781011,7.97131e-05,8.17932e-05,0.000365208,8.7931e-05,0.00263793,30.0026,30
32,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0515398,0.0859923,-0.0106901,-1.35133e-05,7.8921e-05,6.77116e-06,0.000131484,-6.60767e-05,0.0814398,8.01432e-05,8.22139e-05,0.000367152,7.34993e-05,0.00220498,30.0022,30
33,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0533467,0.0880831,-0.0113868,-2.83954e-05,8.37326e-05,8.34816e-07,0.000132755,-7.74177e-05,0.0039014,8.02112e-05,8.22806e-05,0.000367458,7.82946e-05,0.00234883,30.0023,30
34,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0553154,0.0913677,-0.0115322,-2.19667e-05,9.36978e-05,-9.49402e-07,0.000143217,-7.14856e-05,-0.019344,8.00656e-05,8.21366e-05,0.000366826,9.20204e-05,0.00276061,30.0027,30
35,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0572445,0.0941676,-0.0139764,-2.36588e-05,0.000106162,-1.1778e-06,0.000153081,-7.05787e-05,-0.0523326,7.97684e-05,8.18366e-05,0.000365462,0.000104997,0.00314991,30.0031,30
36,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0590143,0.0970091,-0.0142611,-2.5032e-05,0.000109545,-1.09492e-06,0.000157546,-7.30326e-05,-0.00922183,7.9528e-05,8.16016e-05,0.000364375,0.000108676,0.00326028,30.0032,30
37,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0605784,0.100079,-0.0148272,-2.63915e-05,0.000115607,2.95141e-07,0.000163278,-7.40632e-05,-0.0254446,7.9589e-05,8.16655e-05,0.000364671,0.000111277,0.00333832,30.0033,30
38,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0623514,0.102547,-0.0146849,-2.60661e-05,0.000119002,-2.45773e-06,0.000169973,-7.70377e-05,-0.0978335,7.97644e-05,8.18421e-05,0.000365479,0.000118176,0.00354527,30.0035,30
39,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0639359,0.105432,-0.014778,-2.62867e-05,0.000119291,-1.35517e-06,0.000171529,-7.85248e-05,-0.028892,8.00129e-05,8.20883e-05,0.00036661,0.000118905,0.00356716,30.0035,30
40,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0658196,0.108363,-0.0156079,-2.71273e-05,0.000129363,-3.89234e-06,0.00017919,-7.69543e-05,-0.0571573,8.00461e-05,8.2122e-05,0.000366776,0.000127213,0.00381639,30.0038,30
41,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0674534,0.11077,-0.0157885,-2.28686e-05,0.000128902,-4.56609e-07,0.000183577,-7.75433e-05,-0.051542,7.99284e-05,8.20045e-05,0.000366248,0.000124419,0.00373257,30.0037,30
42,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0692161,0.113607,-0.0158079,-2.97036e-05,0.000124246,-3.70949e-06,0.000181447,-8.69048e-05,-0.0725893,7.95901e-05,8.16711e-05,0.000364702,0.000126888,0.00380664,30.0038,30
